"waypoint"; "lat"; "lon"
"RAIMOR"; 60,15883326; 25,94950079
"MFP498"; 60,18055157; 26,02730423
"LEA"; 60,19797770; 25,99981344
"RYSAKARIN HYLKY"; 60,10445668; 24,85046417
"042"; 60,10445219; 24,85046417
"012"; 60,10373339; 24,82769639
"011"; 60,02092172; 25,52258238
"013"; 59,82911226; 24,49574288
"014"; 59,82911226; 24,49574288
"WASA"; 59,80216630; 24,06756260
"ORION PANNU"; 60,02066950; 24,87834254
"SANDVIKEN"; 59,82905790; 24,49556261
"SVARTHALLEN 1"; 59,97978513; 24,58998671
"M97 TORNI"; 59,85125634; 24,44310478
"016"; 59,73342494; 22,17892746
"SUOMI"; 59,85739883; 22,85500254
"FINN-BALTIC"; 59,80616471; 22,98483117
"GRAF NIKITA"; 59,83223325; 23,56746461
"OSTERGARDSHARUN"; 59,85853486; 22,85473214
"ESTEET"; 60,13816872; 25,02816282
"M451"; 59,89754824; 24,34139788
"H33"; 60,06331613; 24,69090043
"INGA"; 59,73263445; 22,17570068
"015"; 60,13278735; 25,24937803
"SIIVO"; 59,73316599; 22,17868410
"HELSINGFORS EI OLE TASSA"; 59,74506650; 22,38541482
"043"; 59,99769629; 25,49512765
"KLJUZ"; 59,99775037; 25,49445165
"041"; 59,92893375; 24,39527081
"Esa I"; 60,20683285; 25,42866304
"OLIVA"; 59,78108288; 21,38706659
"ULLAN TYKKIHYLKY"; 59,95952252; 24,38098461
"KAPASEN FREGATTI"; 59,94958517; 24,41971508
"054"; 60,00682621; 24,97753470
"KLJUZ PERA"; 59,99748446; 25,49413618
"051"; 59,82726852; 24,34692308
"050"; 59,82768077; 24,34695913
"053"; 60,07691096; 25,01199283
"052"; 59,82764453; 24,34685998
"035"; 59,90342003; 24,79402243
"034"; 59,90344263; 24,79388723
"037"; 59,90351043; 24,79379710
"036"; 59,90356015; 24,79395934
"038"; 59,90332963; 24,79347262
"030"; 59,81238350; 24,41486588
"LYBECKSHALLARNA"; 59,94656547; 24,48431392
"033"; 59,90346523; 24,79367992
"032"; 59,98618791; 24,62615737
"048"; 59,90351947; 24,79415763
"047"; 59,90624933; 24,79323827
"040"; 59,97929360; 25,53555263
"039"; 59,97990688; 25,53533630
"JUT"; 59,95190054; 24,84433508
"RYSAKARI 2"; 60,10391758; 24,83556507
"046"; 59,90627645; 24,79324728
"M-97"; 59,85109790; 24,44298761
"LENTAVA HOLLANTILAINEN"; 59,78080161; 22,92856969
"007"; 59,74238699; 23,06687990
"CARRONADA-1"; 59,82019160; 23,67676978
"008"; 59,82165966; 23,67716637
"009"; 59,82102532; 23,67697709
"010"; 59,82307329; 23,67625602
"CARRONADA-2"; 59,82040003; 23,67601266
"023"; 59,81239256; 24,41453239
"022"; 59,81225659; 24,41468562
"025"; 59,81241975; 24,41497404
"024"; 59,81256025; 24,41507319
"027"; 59,81219314; 24,41473068
"026"; 59,81228832; 24,41484786
"028"; 59,81235630; 24,41474871
"KOMSO"; 59,81241522; 24,41501911
"021"; 59,81242429; 24,41479378
"RAIMO"; 60,15899024; 25,94831103
"Sundsborg"; 59,89649944; 24,43149556
"IRIS"; 59,61513123; 23,05384656
"M2530"; 59,74228253; 23,06678075
"002"; 59,61512667; 23,05356715
"001"; 59,61512667; 23,05328774
